day_of_week,shift,peak_period,staff_count,order_volume,avg_items_per_order,avg_pick_distance_m,automation_utilization_pct,absenteeism_pct,equipment_downtime_min,new_hire_share_pct,throughput_units_per_hour
Thursday,Day,0,53,446,2.53,23.3,79.6,7.2,5.5,13.9,134.3
Tuesday,Day,0,23,334,3.64,20.6,84.6,6.8,1.8,4.1,88.4
Sunday,Day,0,51,481,2.69,37.9,89.8,6.5,6.0,0.0,129.2
Wednesday,Day,0,34,442,2.6,13.4,74.0,1.7,5.9,6.3,108.2
Monday,Evening,0,40,391,2.7,25.3,88.1,6.0,3.1,14.9,101.4
Wednesday,Night,0,43,220,3.05,15.7,91.3,8.4,7.6,22.9,77.9
Saturday,Night,0,21,530,2.23,21.1,95.8,4.4,7.7,7.0,84.8
Friday,Night,0,23,338,3.03,22.9,83.0,8.1,10.5,11.1,69.4
Saturday,Day,0,24,516,2.94,27.1,79.6,6.8,2.6,13.1,95.2
Saturday,Day,1,47,613,1.82,20.4,75.3,7.7,2.7,7.5,138.9
Tuesday,Day,0,20,428,3.79,19.8,63.4,5.4,14.2,6.9,78.8
Sunday,Day,0,41,584,3.6,20.3,75.2,7.9,3.2,14.3,115.6
Thursday,Day,1,22,706,2.36,15.5,81.1,0.8,9.5,3.6,110.2
Friday,Day,0,47,607,2.18,25.8,76.9,5.3,6.4,6.6,125.1
Monday,Evening,0,55,466,2.93,23.7,84.0,7.3,4.0,10.6,124.1
Sunday,Day,1,33,693,2.02,24.6,65.5,6.1,20.0,14.3,103.0
Wednesday,Day,0,26,301,3.55,21.6,76.2,8.5,7.8,1.4,87.6
Monday,Evening,0,34,405,2.54,20.8,97.9,4.7,4.5,11.1,104.4
Thursday,Day,1,44,634,3.69,29.1,90.0,3.6,1.4,3.0,134.3
Monday,Night,0,45,526,2.35,28.1,84.2,0.3,12.3,7.2,105.3
Tuesday,Day,0,42,417,2.74,30.5,81.9,4.4,3.2,17.5,115.6
Friday,Evening,1,40,685,3.5,24.2,76.3,6.8,18.8,11.5,116.0
Wednesday,Day,0,41,491,2.62,30.1,60.5,7.5,7.2,23.7,85.9
Sunday,Evening,0,26,565,2.95,19.5,82.6,1.0,38.8,11.5,85.0
Wednesday,Day,0,25,457,3.4,20.8,53.5,8.7,5.9,18.8,74.3
Saturday,Day,0,53,589,2.49,29.2,74.7,2.3,3.1,17.6,135.5
Thursday,Evening,0,40,293,2.11,27.1,78.0,4.8,8.0,11.9,97.7
Friday,Day,0,50,347,2.0,20.3,73.5,3.5,4.4,2.8,104.7
Friday,Day,1,41,463,3.12,15.7,99.0,6.5,0.7,11.3,132.1
Thursday,Night,0,35,505,3.01,20.8,96.2,5.5,14.6,8.3,105.9
Sunday,Day,0,39,539,3.38,17.9,88.3,7.2,9.7,8.0,124.7
Wednesday,Evening,0,44,535,2.65,32.3,68.7,10.7,3.7,13.1,94.6
Tuesday,Evening,1,25,561,2.01,26.6,99.0,6.4,2.5,1.9,109.7
Friday,Day,0,35,446,1.51,17.4,84.2,3.5,2.9,5.9,112.9
Saturday,Evening,0,45,479,4.38,15.7,68.6,6.6,7.6,4.9,91.9
Monday,Day,0,21,592,3.09,17.3,78.3,11.0,28.3,10.2,72.2
Thursday,Evening,0,20,616,2.88,18.6,87.6,7.2,6.3,6.6,85.7
Sunday,Day,1,24,730,2.95,21.0,74.0,8.0,1.3,7.1,111.1
Saturday,Day,1,40,721,2.01,28.7,81.4,0.4,3.2,12.9,121.6
Sunday,Day,0,27,602,2.36,16.2,81.2,6.4,8.4,8.9,101.1
Thursday,Night,0,34,406,3.76,35.7,67.0,4.4,3.8,12.0,73.3
Friday,Evening,0,23,443,3.16,16.3,75.3,3.2,2.1,4.2,95.5
Wednesday,Night,0,27,413,2.38,13.5,67.7,5.1,6.5,6.2,104.9
Sunday,Evening,0,18,362,2.13,32.1,86.7,5.5,3.2,26.3,77.3
Wednesday,Evening,0,48,433,2.52,29.9,68.9,3.3,8.8,7.1,99.4
Saturday,Evening,0,35,384,2.63,20.9,80.9,5.8,9.0,0.0,95.3
Wednesday,Night,1,24,702,3.93,24.3,66.1,4.7,11.2,14.4,86.7
Friday,Evening,0,37,532,2.7,24.4,66.7,7.3,12.7,7.0,84.8
Saturday,Day,0,53,646,2.15,22.8,66.2,5.9,3.6,13.7,143.4
Thursday,Evening,0,49,300,2.77,14.2,75.1,6.3,14.4,11.4,103.6
Sunday,Evening,0,51,636,2.95,8.0,79.8,8.1,5.4,15.8,130.9
Wednesday,Day,0,33,321,2.1,16.9,81.6,6.9,0.9,11.3,88.7
Friday,Day,0,31,386,3.02,32.9,60.3,5.2,13.3,10.4,85.0
Wednesday,Day,0,30,411,3.46,33.1,76.3,0.0,19.8,20.0,74.3
Wednesday,Night,0,29,549,2.88,20.4,70.5,6.7,6.2,0.0,91.8
Thursday,Day,1,52,676,2.36,16.3,85.3,2.5,15.0,2.7,142.8
Monday,Night,1,23,567,2.51,23.7,77.3,4.9,6.6,6.2,79.5
Monday,Day,0,50,380,1.89,24.6,77.2,6.3,4.4,0.2,119.9
Friday,Evening,0,52,349,2.73,25.6,70.6,9.2,6.7,8.6,95.5
Friday,Day,0,50,608,2.97,8.0,95.2,10.7,7.3,8.0,131.0
Friday,Night,0,41,531,2.31,40.9,65.2,2.4,8.4,18.8,95.0
Monday,Evening,1,50,743,3.87,28.8,76.0,1.3,5.7,11.4,131.4
Wednesday,Day,1,19,688,3.24,20.8,81.1,6.2,12.8,10.5,94.7
Tuesday,Day,0,49,214,1.81,17.7,75.5,5.9,10.8,9.3,101.0
Saturday,Day,0,37,392,1.83,27.9,70.4,1.6,2.9,4.6,105.4
Sunday,Day,0,54,519,2.26,25.0,59.9,5.2,4.7,18.2,119.1
Tuesday,Evening,0,21,410,3.67,22.6,71.1,7.0,12.3,20.5,55.0
Friday,Night,1,53,582,3.29,24.8,70.4,1.5,6.5,3.5,124.9
Monday,Evening,0,39,330,3.69,21.3,94.8,2.2,3.8,23.3,86.6
Tuesday,Evening,0,21,535,2.81,24.4,99.0,3.3,6.3,7.3,96.4
Monday,Day,0,37,498,2.68,26.4,77.5,4.6,1.7,6.7,99.7
Wednesday,Night,0,19,473,2.11,24.1,64.0,7.3,17.9,15.3,55.0
Friday,Night,0,21,395,2.99,23.7,85.4,4.2,7.5,15.9,78.4
Sunday,Day,1,38,672,2.69,30.4,70.2,5.4,4.4,11.5,119.6
Tuesday,Night,0,49,293,2.67,12.4,72.5,11.9,1.6,9.6,86.0
Thursday,Day,0,22,463,3.69,17.2,71.7,2.3,24.4,20.2,68.7
Friday,Night,0,27,215,2.73,22.2,73.0,3.2,1.4,7.6,76.4
Sunday,Night,0,32,281,3.53,17.6,74.5,7.2,10.0,11.5,71.6
Friday,Evening,0,38,449,1.93,19.6,64.9,8.2,5.7,23.9,91.9
Tuesday,Day,0,18,691,4.28,29.7,71.0,6.4,6.3,2.6,85.5
Friday,Evening,0,42,309,2.59,21.1,88.2,10.6,6.9,8.8,99.0
Wednesday,Day,0,36,352,3.19,11.0,77.7,6.2,4.5,19.2,91.6
Sunday,Evening,0,54,476,3.28,19.5,79.3,0.0,7.3,15.7,126.0
Wednesday,Day,0,29,638,2.53,22.3,55.7,5.5,8.2,18.3,92.7
Friday,Evening,1,36,679,3.25,22.2,89.5,3.5,11.7,2.7,130.2
Monday,Night,0,21,477,3.28,25.3,71.1,9.4,10.8,14.2,64.0
Wednesday,Day,0,52,438,2.41,24.8,89.2,8.1,2.9,10.0,127.1
Sunday,Day,0,49,426,2.41,21.2,79.5,0.4,3.5,27.9,125.5
Friday,Evening,0,31,488,2.82,14.8,72.4,9.3,14.5,17.7,82.9
Thursday,Day,0,35,412,2.74,19.4,61.2,8.0,5.1,11.8,88.2
Sunday,Day,0,50,544,3.57,18.3,99.0,4.2,9.5,14.0,135.9
Saturday,Day,0,29,357,3.19,20.3,86.0,5.0,16.7,12.4,92.6
Wednesday,Day,0,26,555,2.76,26.1,86.6,9.4,7.7,16.9,109.2
Thursday,Evening,0,27,459,3.13,24.4,96.2,0.0,2.8,6.0,107.1
Thursday,Evening,1,44,615,1.67,26.9,82.2,6.5,2.8,21.6,129.1
Friday,Day,0,26,344,2.46,19.7,91.5,8.5,5.6,2.7,99.3
Wednesday,Evening,1,21,537,2.96,31.1,75.2,4.9,5.7,13.4,80.0
Tuesday,Day,0,24,579,3.41,26.0,85.4,7.1,2.4,6.2,88.4
Sunday,Day,1,55,635,2.91,22.7,73.7,5.5,3.3,12.3,134.6
Sunday,Evening,0,51,481,3.6,25.6,73.0,2.8,10.9,18.9,116.0
Saturday,Day,0,54,426,3.28,17.9,79.0,2.8,14.7,0.0,137.1
Sunday,Evening,0,28,452,2.53,9.3,65.3,7.3,5.2,10.8,98.6
Saturday,Night,0,34,335,2.72,18.4,81.3,3.3,0.1,1.9,98.1
Saturday,Evening,0,36,499,3.02,26.5,74.9,0.6,10.3,10.0,114.7
Saturday,Evening,0,37,525,2.55,22.5,58.1,5.6,1.2,1.9,102.5
Thursday,Day,0,19,505,3.64,21.2,73.4,3.7,1.8,13.1,77.3
Thursday,Day,0,40,389,2.19,16.9,74.5,1.6,6.2,9.0,113.9
Tuesday,Day,0,19,433,2.97,10.3,86.5,5.4,17.3,17.2,91.5
Friday,Evening,0,28,531,3.2,30.5,80.9,7.5,12.2,20.6,75.1
Wednesday,Night,1,29,585,2.63,20.8,94.5,5.3,11.2,12.1,88.8
Tuesday,Day,0,43,438,2.5,19.4,83.2,2.0,6.2,18.3,116.2
Friday,Day,0,52,681,2.76,18.0,72.5,6.6,2.2,21.7,136.8
Wednesday,Day,0,44,380,3.25,29.5,77.4,8.3,15.5,5.5,74.9
Tuesday,Evening,0,34,548,2.53,27.3,74.5,11.8,2.2,22.0,100.3
Saturday,Evening,0,37,380,2.21,16.2,82.9,9.5,9.3,11.7,89.6
Sunday,Evening,0,37,517,3.43,29.0,78.6,2.2,8.1,5.2,110.0
Tuesday,Night,0,23,487,3.02,21.1,71.7,7.8,2.0,14.1,62.5
Monday,Day,0,54,407,3.35,18.3,78.1,6.0,1.1,11.5,112.8
Wednesday,Evening,0,52,334,3.22,20.2,82.6,1.7,11.2,2.2,118.7
Saturday,Evening,0,27,303,4.0,17.3,67.9,6.1,7.2,4.3,86.5
Saturday,Day,0,22,452,3.41,14.1,81.2,11.0,15.5,23.5,78.4
Monday,Night,0,24,460,2.4,26.7,62.2,8.8,9.0,14.0,86.5
Saturday,Day,0,41,408,3.06,20.7,89.1,2.2,8.2,22.4,104.2
Monday,Evening,0,19,444,2.49,25.7,83.3,5.2,0.7,9.1,76.8
Wednesday,Evening,0,21,310,2.55,23.7,94.3,6.7,8.0,6.4,77.1
Sunday,Night,0,42,408,2.02,25.3,66.8,0.0,6.6,0.2,103.7
Tuesday,Evening,0,23,336,2.64,9.7,89.3,0.1,9.1,18.8,90.0
Tuesday,Day,1,20,638,3.1,16.8,89.4,5.7,6.6,14.9,98.2
Thursday,Night,0,18,382,2.76,25.4,76.2,5.7,6.4,9.1,71.6
Friday,Evening,0,44,367,2.2,14.4,74.2,0.0,6.1,6.5,117.5
Sunday,Evening,0,31,392,1.96,24.2,67.1,6.4,4.0,19.9,101.0
Sunday,Evening,0,28,366,3.96,13.7,64.5,8.5,11.1,10.8,72.3
Monday,Day,1,42,510,2.98,22.1,72.5,4.5,37.2,10.8,99.6
Monday,Evening,0,24,538,2.35,31.7,65.4,5.4,2.1,7.8,90.7
Saturday,Night,0,37,431,3.05,26.6,94.0,6.9,3.0,9.1,101.0
Tuesday,Day,0,36,256,4.0,10.9,63.0,6.5,11.1,15.9,80.1
Sunday,Evening,0,43,396,3.14,27.1,79.5,0.2,5.5,2.1,95.8
Friday,Night,0,41,542,1.3,32.9,82.4,2.5,4.6,12.6,111.1
Monday,Evening,0,43,363,4.26,38.8,81.6,4.0,1.1,18.7,96.8
Saturday,Night,1,26,787,1.78,24.9,84.5,2.6,3.2,11.4,109.6
Tuesday,Day,1,23,564,2.69,13.8,89.5,9.6,2.7,19.4,97.9
Thursday,Night,0,38,478,2.18,24.6,73.5,7.1,1.2,21.4,83.1
Thursday,Day,1,20,753,2.39,31.6,80.9,1.9,14.0,18.3,98.8
Thursday,Evening,0,35,498,2.96,20.9,75.1,4.6,7.7,8.2,99.7
Friday,Evening,0,41,349,1.66,28.3,91.0,8.6,34.8,11.8,95.5
Friday,Evening,1,49,570,2.75,17.0,99.0,3.3,8.3,14.4,123.6
Sunday,Night,0,42,541,3.43,24.2,66.1,7.8,2.3,8.7,98.1
Sunday,Evening,0,55,379,2.34,8.0,57.7,9.3,9.0,8.5,105.4
Thursday,Evening,0,39,548,2.04,16.3,83.7,8.8,10.5,8.1,118.1
Monday,Day,0,34,414,2.72,22.0,88.7,5.7,4.3,29.8,108.3
Saturday,Evening,0,27,503,2.61,19.8,97.6,9.0,10.2,10.1,112.5
Sunday,Evening,0,43,323,2.47,14.2,85.4,3.6,10.0,19.5,110.6
Wednesday,Day,0,48,412,2.15,19.0,92.0,12.7,3.4,5.9,127.5
Thursday,Evening,0,30,372,3.09,24.0,94.6,5.9,11.7,23.9,87.3
Thursday,Night,0,20,451,3.13,21.5,92.6,8.6,8.7,9.4,80.3
Monday,Evening,0,18,444,2.21,22.4,86.8,4.1,7.1,12.4,83.6
Friday,Evening,0,42,524,2.29,26.4,65.2,6.7,7.7,0.0,110.8
Wednesday,Day,0,43,423,2.88,19.9,77.9,6.8,2.3,19.8,125.3
Saturday,Evening,0,22,402,2.27,30.2,81.0,2.4,18.4,21.3,76.2
Saturday,Day,0,18,527,2.9,16.1,77.0,2.3,5.4,3.7,97.3
Saturday,Day,0,42,412,3.61,33.6,77.6,4.6,5.0,20.2,103.4
Wednesday,Evening,1,33,732,2.77,28.7,95.7,8.5,9.2,2.6,111.6
Wednesday,Day,0,33,459,2.13,19.9,70.4,0.0,31.3,16.4,90.6
Saturday,Day,0,27,479,3.02,20.3,86.0,4.1,12.0,10.0,97.2
Saturday,Evening,0,45,534,2.7,23.2,81.2,9.1,5.5,21.4,120.4
Thursday,Day,0,46,468,2.72,25.6,69.4,1.5,9.1,13.7,120.2
Sunday,Day,0,19,317,3.06,28.6,67.2,9.0,9.1,18.5,81.0
Tuesday,Day,0,21,364,3.18,14.0,61.0,1.8,7.1,20.7,76.5
Sunday,Evening,0,39,555,2.82,24.6,82.9,2.5,2.4,10.0,118.9
Monday,Day,1,40,643,2.77,9.3,79.4,4.8,12.3,11.8,127.7
Tuesday,Evening,0,23,285,3.93,20.9,69.7,10.8,4.7,4.2,67.2
Thursday,Evening,0,24,488,3.46,30.7,59.2,3.3,3.6,9.9,85.7
Monday,Day,0,43,402,3.26,13.5,82.3,0.0,5.1,25.5,101.1
Monday,Night,1,35,507,2.87,12.4,78.3,1.0,14.7,17.3,104.0
Monday,Day,1,22,526,2.25,23.3,72.9,8.0,4.6,4.7,111.5
Thursday,Evening,0,41,550,3.42,30.3,68.4,1.1,6.5,23.4,110.2
Saturday,Day,0,20,323,2.88,24.0,75.6,8.8,26.1,14.7,72.2
Monday,Evening,0,26,355,2.48,10.6,82.7,5.4,4.9,17.8,94.8
Friday,Day,0,45,511,2.67,11.9,74.7,5.1,6.3,15.4,115.2
Saturday,Night,0,26,615,2.27,22.6,66.1,6.1,7.0,14.9,83.7
Tuesday,Day,0,20,518,3.38,14.9,77.4,2.8,4.8,0.0,90.2
Tuesday,Evening,1,54,545,3.18,22.8,90.5,5.6,6.2,19.7,120.6
Sunday,Day,0,26,620,2.9,23.2,78.4,1.6,7.7,0.0,116.4
Saturday,Day,0,37,381,2.78,19.1,78.7,9.2,4.6,19.1,111.8
Thursday,Day,0,49,500,2.43,32.9,74.7,2.1,1.7,12.7,125.3
Saturday,Evening,0,55,536,1.63,25.5,69.1,6.5,6.8,17.8,130.7
Monday,Evening,0,48,351,2.02,29.3,68.8,2.1,20.3,13.1,99.2
Wednesday,Night,0,30,491,2.39,27.5,61.4,3.6,5.4,19.3,85.8
Saturday,Evening,0,50,441,2.31,21.1,89.8,4.1,8.5,12.1,107.5
Tuesday,Night,0,18,486,2.96,20.8,82.6,14.1,15.5,14.0,64.8
Saturday,Day,0,30,335,3.25,20.2,78.8,5.2,10.1,14.8,86.1
Thursday,Evening,0,25,487,2.73,26.1,81.0,2.7,6.9,25.2,85.0
Saturday,Evening,0,38,451,3.57,18.1,81.4,3.9,6.3,16.2,105.2
Thursday,Evening,0,51,564,2.37,32.4,70.7,0.7,3.9,2.8,119.3
Wednesday,Night,1,47,601,2.73,17.5,76.7,4.7,12.1,8.1,110.5
Tuesday,Evening,1,55,744,2.77,23.3,75.3,10.8,14.9,16.2,117.4
Tuesday,Night,0,23,468,3.4,20.6,99.0,6.2,12.1,20.8,67.6
Saturday,Evening,0,46,478,2.86,19.3,88.2,7.9,10.6,6.9,107.1
Monday,Day,0,45,530,2.87,35.0,79.7,2.5,5.1,27.7,103.8
Monday,Evening,0,35,510,1.89,19.4,91.7,4.6,3.9,13.2,101.4
Tuesday,Evening,0,21,490,2.31,20.2,90.4,5.8,9.6,14.9,91.4
Tuesday,Night,0,21,202,3.4,18.0,64.2,3.0,1.7,3.2,57.1
Saturday,Night,0,52,372,1.66,22.2,75.8,6.4,5.3,19.8,97.5
Wednesday,Day,0,29,601,3.54,21.4,77.8,7.0,8.5,8.9,95.9
Sunday,Day,0,42,356,3.07,15.3,84.1,6.8,17.1,6.8,97.4
Monday,Day,0,53,539,2.39,19.5,75.8,4.7,21.8,9.8,132.1
Friday,Evening,0,36,547,2.34,25.7,77.0,8.5,2.6,21.7,101.3
Thursday,Day,0,25,406,3.84,28.2,73.4,4.4,9.1,15.3,66.8
Wednesday,Evening,0,36,260,3.58,22.1,88.5,4.2,6.9,5.8,95.4
Sunday,Evening,0,26,401,2.73,22.4,63.6,9.5,11.0,8.3,77.0
Sunday,Night,0,24,627,2.87,19.8,73.7,1.9,6.1,21.9,89.5
Sunday,Day,0,48,393,2.44,19.0,59.6,0.1,11.5,10.3,126.2
Tuesday,Evening,1,31,550,2.87,16.5,69.7,2.6,8.4,15.9,94.0
Tuesday,Day,0,44,370,2.43,12.7,81.2,6.4,4.3,17.6,121.2
Friday,Night,1,45,750,2.76,17.8,83.4,9.1,11.5,0.0,117.3
Wednesday,Day,0,38,447,3.8,27.4,74.9,3.2,6.2,20.9,97.0
Saturday,Day,0,38,451,2.75,19.5,89.2,10.6,7.4,6.0,105.2
Friday,Day,0,24,634,2.22,19.9,91.5,5.3,3.1,9.5,105.6
Thursday,Night,0,38,485,2.05,19.8,77.3,4.9,5.6,22.8,95.5
Saturday,Day,0,46,423,2.87,29.5,80.5,2.7,16.8,22.1,92.3
Saturday,Evening,1,25,554,2.38,16.4,75.5,11.1,4.4,15.4,99.8
Monday,Evening,0,26,545,2.94,23.7,84.3,4.7,21.9,17.1,83.3
Monday,Evening,0,44,437,1.91,21.6,66.1,1.2,7.6,18.8,95.4
Friday,Day,0,55,353,3.18,22.4,96.0,12.6,8.7,22.0,119.3
Thursday,Day,0,32,306,2.22,23.5,89.4,6.4,3.7,22.9,105.2
Tuesday,Day,0,49,359,2.83,22.3,66.0,7.6,12.1,12.8,97.7
Wednesday,Day,0,24,352,2.61,26.8,70.1,10.2,1.6,6.8,74.3
Saturday,Evening,0,39,296,3.75,21.8,82.2,7.0,5.7,10.2,102.0
Saturday,Day,0,53,406,2.89,32.5,74.6,8.1,3.7,12.9,119.4
Friday,Day,0,34,413,3.87,22.3,83.4,5.4,1.9,11.6,98.4
Wednesday,Day,0,37,426,3.11,11.8,74.4,7.4,11.0,4.9,108.4
Tuesday,Evening,0,23,606,3.58,25.8,93.2,5.1,5.9,15.1,94.6
Thursday,Day,0,38,450,2.69,24.4,78.1,5.1,7.3,1.0,118.6
Wednesday,Evening,0,40,434,2.99,22.2,99.0,5.6,3.9,12.6,110.2
Friday,Day,0,55,548,3.47,20.4,84.0,4.0,12.7,13.0,130.8
Friday,Night,0,25,432,3.3,9.3,64.5,6.7,8.3,12.8,83.4
Monday,Evening,0,31,473,3.09,10.3,98.9,6.7,19.0,18.0,76.3
Monday,Day,0,42,482,2.62,31.9,89.0,7.7,4.1,17.0,119.1
Tuesday,Day,0,53,477,2.71,18.5,81.8,7.1,4.1,27.6,119.0
Sunday,Day,0,27,738,3.43,27.8,84.5,11.2,10.2,8.4,101.9
Friday,Day,0,44,587,3.54,12.4,66.1,8.4,20.4,14.0,117.2
Tuesday,Day,0,51,362,2.47,15.7,60.0,4.6,4.6,13.5,111.7
Sunday,Night,0,42,465,2.39,26.1,77.6,6.6,0.5,13.2,102.6
Thursday,Evening,0,34,380,2.3,21.4,91.8,9.4,2.2,3.1,100.9
Thursday,Day,0,26,517,3.26,25.2,82.0,2.4,16.8,3.7,81.4
Sunday,Evening,0,28,324,2.29,21.9,95.1,11.2,5.5,12.0,105.7
Monday,Day,1,19,530,3.25,20.8,93.2,2.9,23.4,1.0,91.7
Tuesday,Night,0,23,453,3.1,17.9,78.2,7.9,2.6,9.7,92.3
Friday,Day,0,34,595,2.5,14.8,89.8,5.2,10.3,7.5,114.2
Tuesday,Evening,0,23,493,3.66,30.4,93.2,5.0,10.4,9.9,83.1
Friday,Evening,0,18,561,2.0,31.4,77.2,1.3,1.7,19.9,93.7
Tuesday,Day,0,44,501,3.71,15.8,75.9,7.9,1.7,4.5,108.1
Monday,Day,0,20,471,2.98,15.4,79.4,1.3,5.7,18.1,89.9
Tuesday,Day,0,23,417,1.66,19.9,53.9,0.9,11.0,8.0,91.7
Thursday,Night,0,40,507,3.68,24.0,80.8,8.7,9.3,8.9,92.4
Tuesday,Evening,0,53,542,3.33,20.9,85.2,10.6,6.1,15.3,115.0
Monday,Evening,1,45,609,2.56,25.0,81.4,3.2,5.9,10.1,133.9
Sunday,Evening,0,19,444,2.27,21.7,81.4,8.2,0.8,5.8,98.4
Wednesday,Night,0,24,576,1.94,21.3,77.6,7.6,3.2,9.4,102.5
Wednesday,Evening,0,46,448,4.13,36.5,58.0,4.9,1.4,0.0,92.7
Monday,Evening,1,45,622,2.29,18.8,96.6,9.2,9.1,14.7,122.8
Wednesday,Evening,0,32,496,2.11,31.8,74.3,4.7,2.2,0.0,96.6
Tuesday,Day,1,54,636,2.95,30.7,73.8,6.8,16.6,18.2,128.8
Friday,Night,1,51,557,1.9,25.0,93.6,1.4,7.3,16.3,121.6
Tuesday,Day,0,46,501,2.26,10.4,87.8,1.6,3.1,23.2,121.6
Sunday,Day,0,46,471,3.35,22.2,80.7,8.7,14.8,27.3,99.7
Sunday,Night,0,47,605,3.06,18.9,85.7,6.9,2.0,18.6,113.1
Monday,Day,0,23,530,2.59,22.1,66.5,4.8,2.1,7.6,100.2
Monday,Day,0,44,398,2.81,15.6,77.2,10.9,3.0,27.2,110.8
Monday,Day,1,53,704,2.56,26.5,92.9,10.9,14.8,3.6,132.0
Friday,Evening,0,26,509,2.77,27.9,71.2,6.5,23.5,0.0,75.6
Monday,Night,0,18,534,2.38,29.0,68.0,0.8,1.4,25.0,56.1
Saturday,Day,0,31,460,2.48,19.7,78.8,4.9,42.5,16.2,76.9
Saturday,Day,0,28,528,2.46,15.6,79.0,2.7,11.2,0.0,117.9
Saturday,Evening,1,54,661,2.4,24.1,86.5,5.5,4.8,2.5,141.3
Thursday,Night,0,34,436,3.37,32.5,64.2,2.4,10.5,15.9,68.8
Sunday,Day,0,43,391,3.22,22.4,52.5,1.6,15.1,5.9,109.4
Monday,Night,1,55,645,2.29,24.7,89.2,0.0,3.2,6.9,135.2
Wednesday,Night,1,47,645,2.14,20.6,69.2,5.7,15.1,25.8,122.7
Wednesday,Day,0,46,592,2.71,19.0,71.9,0.0,6.9,27.0,143.2
Sunday,Night,0,54,429,3.99,25.9,56.2,4.2,1.3,13.0,104.0
Friday,Evening,0,44,441,2.23,21.4,88.2,7.3,11.1,10.9,118.4
Saturday,Evening,0,26,565,2.71,24.4,81.5,3.0,19.6,18.3,76.1
Tuesday,Day,0,45,390,2.85,25.0,81.1,1.9,9.6,8.1,99.2
Sunday,Night,0,30,533,2.74,24.1,81.0,5.0,2.5,0.0,94.8
Thursday,Evening,1,30,738,2.55,25.3,59.4,2.7,9.7,0.0,109.3
Thursday,Evening,0,42,574,3.44,16.9,68.1,5.8,8.5,11.5,106.3
Sunday,Night,1,29,646,3.05,16.5,75.5,2.1,10.4,18.2,100.8
Wednesday,Evening,1,18,584,3.27,21.7,72.5,4.9,1.2,12.1,79.4
Wednesday,Night,0,55,435,3.12,21.9,75.3,4.2,1.4,17.7,113.4
Friday,Night,0,39,491,3.29,18.9,80.5,5.2,4.3,18.4,94.0
Monday,Day,0,43,402,3.67,23.4,88.1,10.1,13.1,21.7,90.3
Wednesday,Day,0,48,597,3.53,27.4,63.2,5.8,11.7,13.3,102.7
Tuesday,Day,0,42,520,4.08,29.1,77.9,6.7,14.2,13.9,100.7
Monday,Night,0,41,325,3.47,30.5,85.1,3.3,10.6,11.7,82.4
Sunday,Day,0,48,654,2.43,14.1,68.8,5.9,12.4,10.2,128.6
Friday,Evening,0,29,489,3.27,15.0,76.1,4.4,8.5,1.0,82.2
Wednesday,Day,0,49,366,3.19,20.3,82.7,5.3,6.1,20.2,116.0
Wednesday,Day,0,45,391,3.86,22.5,78.1,7.1,11.4,9.3,103.9
Thursday,Evening,0,24,596,2.27,20.6,84.7,3.7,2.3,8.9,100.9
Friday,Day,0,23,673,3.11,18.7,78.9,4.0,2.9,8.2,105.5
Sunday,Night,1,51,706,2.43,20.2,76.9,3.7,2.0,2.6,144.7
Sunday,Day,1,52,780,3.08,24.9,68.3,3.7,8.0,11.4,123.8
Wednesday,Night,0,55,541,2.68,14.0,80.5,5.7,2.3,15.6,126.5
Wednesday,Day,0,21,523,3.06,36.1,79.0,4.1,0.4,7.1,79.9
Thursday,Night,0,52,461,2.02,22.1,68.1,9.7,1.7,19.3,109.2
Friday,Evening,0,50,531,3.24,28.3,83.8,13.2,19.7,9.4,100.5
Thursday,Day,0,47,545,2.91,18.5,90.7,3.5,8.1,1.3,130.5
Friday,Day,0,36,430,2.88,25.4,71.4,6.1,14.8,21.6,95.5
Thursday,Day,1,37,725,3.87,22.6,72.7,8.3,1.4,13.4,119.6
Wednesday,Evening,0,34,589,2.59,27.1,70.4,4.4,10.2,18.0,104.1
Wednesday,Night,0,19,405,2.99,20.8,61.2,2.2,2.1,18.2,65.1
Wednesday,Day,1,37,620,2.86,31.3,99.0,10.4,10.0,5.4,122.8
Monday,Day,0,27,500,2.91,13.0,73.5,7.3,14.2,8.3,95.7
Tuesday,Evening,0,25,383,4.02,27.7,69.4,6.2,11.2,19.2,62.8
Saturday,Evening,1,20,545,2.84,22.7,68.7,9.6,7.4,24.8,81.4
Wednesday,Evening,0,35,559,2.49,15.9,74.1,7.5,18.9,12.4,94.7
Tuesday,Evening,0,19,402,3.83,33.7,71.0,5.1,13.1,7.6,72.3
Friday,Evening,0,50,482,2.63,33.1,92.4,2.3,3.5,23.8,124.5
Saturday,Night,1,51,587,1.92,9.6,67.5,3.7,2.2,7.6,133.1
Tuesday,Day,0,48,586,2.39,23.1,62.6,8.8,32.9,14.3,96.7
Saturday,Day,0,29,591,2.11,26.2,83.5,7.2,3.7,9.0,117.1
Sunday,Day,0,24,452,1.81,24.7,76.9,4.6,6.4,13.9,105.1
Friday,Evening,0,37,368,2.6,31.1,75.8,10.5,2.8,5.4,93.2
Friday,Day,0,43,467,2.76,29.8,83.6,4.7,12.6,9.4,113.6
Monday,Night,0,18,464,3.45,23.6,79.4,8.2,3.1,7.6,81.3
Sunday,Evening,0,50,473,3.15,35.7,77.5,5.9,7.1,16.6,107.7
Wednesday,Evening,0,34,460,3.12,27.6,63.9,11.0,9.7,13.1,80.9
